antecedents,consequents,support,confidence,lift
produit fongicide,detail,0.6710526315789473,0.8095238095238094,1.0253968253968253
"matériel apiculture, detail",matériel divers,0.631578947368421,0.9056603773584906,1.0122086570477247
"produit fongicide, matériel apiculture",detail,0.6052631578947368,0.8070175438596492,1.0222222222222224
"matériel apiculture, detail",produit insecticide,0.6710526315789473,0.9622641509433962,1.0157232704402517
"matériel divers, produit engrai",detail,0.6842105263157895,0.8125,1.0291666666666666
"produit engrai, detail",matériel divers,0.6842105263157895,0.8965517241379309,1.0020283975659228
"matériel divers, produit fongicide",detail,0.631578947368421,0.8135593220338982,1.0305084745762711
"produit fongicide, detail",matériel divers,0.631578947368421,0.9411764705882354,1.0519031141868513
"matériel divers, detail",produit insecticide,0.6842105263157895,0.9629629629629629,1.0164609053497942
"produit insecticide, detail",matériel divers,0.6842105263157895,0.9285714285714287,1.0378151260504203
"produit insecticide, produit fongicide",detail,0.6710526315789473,0.8095238095238094,1.0253968253968253
"produit fongicide, detail",produit insecticide,0.6710526315789473,1.0,1.0555555555555556
produit fongicide,"produit insecticide, detail",0.6710526315789473,0.8095238095238094,1.098639455782313
"matériel divers, matériel apiculture, produit engrai",detail,0.6052631578947368,0.8070175438596492,1.0222222222222224
"matériel divers, matériel apiculture, detail",produit engrai,0.6052631578947368,0.9583333333333334,1.0115740740740742
"matériel apiculture, produit engrai, detail",matériel divers,0.6052631578947368,0.9019607843137256,1.0080738177623991
"matériel apiculture, produit engrai, detail",produit insecticide,0.6447368421052632,0.9607843137254902,1.014161220043573
"matériel divers, produit insecticide, produit engrai",detail,0.6578947368421053,0.8064516129032259,1.021505376344086
"matériel divers, produit engrai, detail",produit insecticide,0.6578947368421053,0.9615384615384615,1.014957264957265
"produit insecticide, produit engrai, detail",matériel divers,0.6578947368421053,0.9259259259259258,1.034858387799564
"matériel divers, produit insecticide, produit fongicide",detail,0.631578947368421,0.8135593220338982,1.0305084745762711
"matériel divers, produit fongicide, detail",produit insecticide,0.631578947368421,1.0,1.0555555555555556
"produit insecticide, produit fongicide, detail",matériel divers,0.631578947368421,0.9411764705882354,1.0519031141868513
"matériel divers, produit fongicide","produit insecticide, detail",0.631578947368421,0.8135593220338982,1.1041162227602905
matériel divers,produit insecticide,0.6973684210526315,0.8153846153846154,0.9836385836385836
produit insecticide,matériel divers,0.6973684210526315,0.8412698412698412,0.9836385836385835
"matériel divers, produit engrai",produit insecticide,0.6842105263157895,0.8125000000000001,0.9801587301587302
"produit insecticide, produit engrai",matériel divers,0.6842105263157895,0.838709677419355,0.9806451612903228
"matériel divers, produit fongicide",produit insecticide,0.6973684210526315,0.8548387096774194,1.0312339989759345
"produit insecticide, produit fongicide",matériel divers,0.6973684210526315,0.8548387096774194,0.9995037220843672
produit fongicide,matériel divers,0.6666666666666666,0.9811320754716981,1.020377358490566
produit engrai,produit insecticide,0.6923076923076923,0.8852459016393442,0.9725236665897021
produit fongicide,produit insecticide,0.6153846153846154,0.9056603773584906,0.9949508370980601
"produit engrai, detail",produit insecticide,0.6923076923076923,0.8852459016393442,0.9725236665897021
"matériel apiculture, produit engrai",produit insecticide,0.6794871794871795,0.8833333333333333,0.9704225352112675
"matériel divers, matériel apiculture",produit engrai,0.6923076923076923,0.9310344827586207,0.9948039678790741
"matériel apiculture, produit engrai",matériel divers,0.6923076923076923,0.8181818181818182,1.012987012987013
matériel apiculture,matériel divers,0.6025641025641025,0.8392857142857143,0.9770788912579959
matériel apiculture,produit insecticide,0.6794871794871795,0.9464285714285715,1.0397384305835011
