antecedents,consequents,support,confidence,lift
produit fongicide,matériel divers,0.6923076923076923,0.9473684210526315,0.9985775248933143
produit raticide + anti insect,matériel divers,0.6923076923076923,0.9642857142857142,1.0164092664092663
produit raticide + anti insect,produit engrai,0.6282051282051282,0.8749999999999999,0.9891304347826086
"produit raticide + anti insect, matériel apiculture",matériel divers,0.6666666666666666,0.9811320754716981,1.0341662417134116
"produit fongicide, matériel apiculture",produit engrai,0.6923076923076923,0.9642857142857142,1.0900621118012421
"matériel apiculture, produit engrai",produit fongicide,0.6923076923076923,0.8181818181818181,1.1196172248803828
"produit raticide + anti insect, matériel apiculture",produit insecticide,0.6794871794871795,1.0,1.0129870129870129
"matériel d'irrigation, produit raticide + anti insect",matériel divers,0.6923076923076923,0.9642857142857142,1.0164092664092663
"matériel d'irrigation, produit raticide + anti insect",produit engrai,0.6282051282051282,0.8749999999999999,0.9891304347826086
"matériel divers, produit fongicide",produit engrai,0.6666666666666666,0.962962962962963,1.0885668276972627
"matériel divers, produit engrai",produit fongicide,0.6666666666666666,0.8,1.0947368421052632
"produit fongicide, produit engrai",matériel divers,0.6666666666666666,0.9454545454545454,0.9965601965601966
produit fongicide,"matériel divers, produit engrai",0.6666666666666666,0.912280701754386,1.0947368421052632
"matériel divers, produit raticide + anti insect",produit engrai,0.6025641025641025,0.8703703703703705,0.9838969404186797
"produit raticide + anti insect, produit engrai",matériel divers,0.6025641025641025,0.9591836734693878,1.0110314396028683
"matériel divers, produit fongicide",produit insecticide,0.6923076923076923,1.0,1.0129870129870129
"produit insecticide, produit fongicide",matériel divers,0.6923076923076923,0.9473684210526315,0.9985775248933143
produit fongicide,"matériel divers, produit insecticide",0.6923076923076923,0.9473684210526315,1.012256669069935
"matériel divers, produit raticide + anti insect",produit insecticide,0.6923076923076923,1.0,1.0129870129870129
"produit raticide + anti insect, produit insecticide",matériel divers,0.6923076923076923,0.9642857142857142,1.0164092664092663
produit raticide + anti insect,"matériel divers, produit insecticide",0.6923076923076923,0.9642857142857142,1.0303326810176123
"produit raticide + anti insect, produit insecticide",produit engrai,0.6282051282051282,0.8749999999999999,0.9891304347826086
"produit raticide + anti insect, produit engrai",produit insecticide,0.6282051282051282,1.0,1.0129870129870129
produit raticide + anti insect,"produit insecticide, produit engrai",0.6282051282051282,0.8749999999999999,1.003676470588235
